Ticker,Component,Observations,Directional_Calls,BUY_Count,HOLD_Count,SELL_Count,Hit_Rate_%,Strategy_Return_%
AAPL,Forecast Only,518,366,192,152,174,53.00546448087432,-9.602923326827216
AAPL,Sentiment Only,518,0,0,518,0,,0.0
AAPL,Risk Only,518,355,221,163,134,50.70422535211267,-4.965005870065642
AAPL,Combined,518,295,100,223,195,50.50847457627119,-13.52659330062227
MSFT,Forecast Only,518,477,37,41,440,49.056603773584904,-8.998018787878802
MSFT,Sentiment Only,518,0,0,518,0,,0.0
MSFT,Risk Only,518,368,48,150,320,48.369565217391305,-34.3560632118459
MSFT,Combined,518,480,25,38,455,48.125,-21.208746237686814
JPM,Forecast Only,518,271,98,247,173,46.125461254612546,-13.273061454523505
JPM,Sentiment Only,518,0,0,518,0,,0.0
JPM,Risk Only,518,329,129,189,200,48.93617021276596,-23.277337875775896
JPM,Combined,518,196,21,322,175,43.36734693877551,-4.3596755949921295
XOM,Forecast Only,518,483,22,35,461,45.54865424430642,-46.2536534630159
XOM,Sentiment Only,518,0,0,518,0,,0.0
XOM,Risk Only,518,271,77,247,194,45.38745387453875,-43.655046874343896
XOM,Combined,518,464,10,54,454,44.827586206896555,-47.01594667385067
JNJ,Forecast Only,518,340,94,178,246,47.94117647058824,-10.239236017503616
JNJ,Sentiment Only,518,0,0,518,0,,0.0
JNJ,Risk Only,518,360,303,158,57,52.22222222222223,58.812636164964594
JNJ,Combined,518,242,22,276,220,49.17355371900827,-14.855691834594753
PG,Forecast Only,518,361,110,157,251,51.52354570637119,1.7127180277954235
PG,Sentiment Only,518,0,0,518,0,,0.0
PG,Risk Only,518,358,70,160,288,48.324022346368714,4.523086230525819
PG,Combined,518,330,57,188,273,50.303030303030305,13.87186322913938
NVDA,Forecast Only,518,379,284,139,95,48.02110817941953,-48.87208604630777
NVDA,Sentiment Only,518,0,0,518,0,,0.0
NVDA,Risk Only,518,340,250,178,90,49.705882352941174,-13.987792092333716
NVDA,Combined,518,227,123,291,104,47.57709251101321,-51.78491886264407
KO,Forecast Only,518,445,371,73,74,49.8876404494382,23.79386290309973
KO,Sentiment Only,518,0,0,518,0,,0.0
KO,Risk Only,518,351,181,167,170,49.002849002849004,1.9497188404875576
KO,Combined,518,290,215,228,75,52.758620689655174,26.428988106871444
CAT,Forecast Only,518,370,175,148,195,49.18918918918919,-16.926938875173857
CAT,Sentiment Only,518,0,0,518,0,,0.0
CAT,Risk Only,518,381,51,137,330,42.51968503937008,-60.64422015520506
CAT,Combined,518,299,78,219,221,47.82608695652174,-28.127698532588784
HD,Forecast Only,518,398,161,120,237,50.25125628140703,17.60739418863473
HD,Sentiment Only,518,0,0,518,0,,0.0
HD,Risk Only,518,343,159,175,184,50.72886297376093,-4.878028467594375
HD,Combined,518,322,84,196,238,50.931677018633536,3.7131922781979743
