Ticker,Observations,Directional_Calls,BUY_Count,HOLD_Count,SELL_Count,Hit_Rate_%,Average_Directional_Return
AAPL,30,11,10,19,1,36.36363636363637,0.0018548958947137604
MSFT,30,30,1,0,29,46.666666666666664,0.008023508636786374
JPM,30,10,7,20,3,10.0,-0.004317117176297858
XOM,30,22,1,8,21,45.45454545454545,0.001816712656022805
JNJ,30,8,2,22,6,50.0,8.043509310219632e-05
PG,30,14,2,16,12,42.857142857142854,-0.00112626752696156
NVDA,30,17,1,13,16,64.70588235294117,-0.004130211929078685
KO,30,26,1,4,25,46.15384615384615,-6.007732084313437e-05
CAT,30,10,1,20,9,30.0,0.004049057797180677
HD,30,15,6,15,9,66.66666666666666,-0.0008031137231479783
