Ticker,Observations,Directional_Calls,BUY_Count,HOLD_Count,SELL_Count,Recommendation_Hit_Rate_%,BuyHold_Hit_Rate_%,Strategy_Total_Return_%,BuyHold_Total_Return_%
AAPL,518,264,53,254,211,49.24242424242424,53.47490347490348,-26.506775034414975,42.15439756204462
MSFT,518,407,5,111,402,47.420147420147416,52.316602316602314,-29.064392415254602,20.096043745648263
JPM,518,142,27,376,115,46.478873239436616,56.17760617760618,-4.784609951301755,76.1549532807984
XOM,518,497,3,21,494,46.478873239436616,53.66795366795367,-35.43536783126746,48.6564057356692
JNJ,518,251,20,267,231,46.613545816733065,55.01930501930502,-17.77646785263196,80.15059393339826
PG,518,290,21,228,269,50.0,51.35135135135135,-3.047802648861253,-10.648240683928357
NVDA,518,180,104,338,76,48.333333333333336,52.8957528957529,-32.014025266257526,90.15028623407049
KO,518,153,57,365,96,49.01960784313725,50.38610038610039,-0.18549650818184826,35.92600852139394
CAT,518,234,75,284,159,48.29059829059829,53.66795366795367,-8.633023331736744,148.08074335268034
HD,518,214,38,304,176,51.4018691588785,48.06949806949807,17.940510663744735,-7.203675165315482
