Ticker,Observations,Directional_Calls,BUY_Count,HOLD_Count,SELL_Count,Recommendation_Hit_Rate_%,BuyHold_Hit_Rate_%,Strategy_Total_Return_%,BuyHold_Total_Return_%
AAPL,517,295,100,222,195,50.50847457627119,53.38491295938105,-13.52659330062227,40.25664366667245
MSFT,517,480,25,37,455,48.125,52.22437137330754,-21.208746237686814,18.69265838889953
JPM,517,196,21,321,175,43.36734693877551,56.09284332688588,-4.3596755949921295,75.06415204384085
XOM,517,464,10,53,454,44.827586206896555,53.578336557059956,-47.01594667385067,47.74238262067012
JNJ,517,242,22,275,220,49.17355371900827,54.932301740812385,-14.855691834594753,79.45983001544217
PG,517,330,57,187,273,50.303030303030305,51.45067698259188,13.87186322913938,-10.179989256518828
NVDA,517,227,123,290,104,47.57709251101321,52.804642166344294,-51.78491886264407,82.75229960402686
KO,517,290,215,227,75,52.758620689655174,50.29013539651837,26.428988106871444,35.78742281200766
CAT,517,299,78,218,221,47.82608695652174,53.578336557059956,-28.127698532588784,142.3028725952572
HD,517,322,84,195,238,50.931677018633536,47.969052224371374,3.7131922781979743,-8.34022412702794
