Ticker,Model,MAE,RMSE,R2,Directional_Accuracy,Delta_MAE,Delta_Directional_Accuracy,Usable_Rows
AAPL,Ridge Without Sentiment,0.008691925234723105,0.011695992964400442,-0.10897604599284016,54.49101796407185,,,833
AAPL,Ridge With Sentiment,0.008905532603059863,0.011894631222991038,-0.1469643845651598,57.48502994011976,0.000213607368336758,2.994011976047908,833
MSFT,Ridge Without Sentiment,0.01136556915551979,0.01393675984344114,-0.13151900608580225,54.22535211267606,,,708
MSFT,Ridge With Sentiment,0.011620308935223247,0.01437689669987831,-0.20411654818777425,50.70422535211267,0.00025473977970345667,-3.5211267605633907,708
JPM,Ridge Without Sentiment,0.007122753207879133,0.009032580898850522,-0.03960132107231207,57.14285714285714,,,453
JPM,Ridge With Sentiment,0.007189017172403324,0.009180980747653302,-0.07404197915932054,60.43956043956044,6.626396452419098e-05,3.296703296703299,453
XOM,Ridge Without Sentiment,0.014634379773735077,0.019437863331530258,-0.6272317011365567,62.96296296296296,,,135
XOM,Ridge With Sentiment,0.013842013118509876,0.018721288586774514,-0.509467698158905,59.25925925925925,-0.0007923666552252014,-3.7037037037037095,135
JNJ,Ridge Without Sentiment,0.010346785518961843,0.014263034805030782,-0.3437581980350104,42.857142857142854,,,242
JNJ,Ridge With Sentiment,0.009497343006323872,0.013581434405411158,-0.21839616611749846,42.857142857142854,-0.0008494425126379709,0.0,242
PG,Ridge Without Sentiment,0.01144687355546534,0.01344934003202717,-1.6585831587860813,28.57142857142857,,,102
PG,Ridge With Sentiment,0.012133545222072934,0.01447207457831568,-2.0782925098875067,19.047619047619047,0.0006866716666075936,-9.523809523809522,102
NVDA,Ridge Without Sentiment,0.02320758011577516,0.028348382543507328,-0.525378242682321,37.66233766233766,,,383
NVDA,Ridge With Sentiment,0.03476307022163524,0.04019394184734989,-2.0664944137729386,40.25974025974026,0.01155549010586008,2.597402597402599,383
KO,Ridge Without Sentiment,0.008034053986234413,0.010213325503626663,-0.31535644263036566,51.42857142857142,,,346
KO,Ridge With Sentiment,0.007908551057166462,0.010138375453863696,-0.29612190513842074,52.85714285714286,-0.0001255029290679506,1.4285714285714377,346
HD,Ridge Without Sentiment,0.013630260783023308,0.01670964402315299,-0.4293976575739866,45.0,,,199
HD,Ridge With Sentiment,0.014560796818764505,0.01751673178160068,-0.5708142424124893,42.5,0.0009305360357411974,-2.5,199
